,timestamp,date,day number,weekends,activity number,segment,activity count
436,1571176800,2019-10-16 04:00:00,3,1,0,0,0
437,1571180400,2019-10-16 05:00:00,3,1,0,0,0
438,1571184000,2019-10-16 06:00:00,3,1,0,1,0
439,1571187600,2019-10-16 07:00:00,3,1,0,1,0
440,1571191200,2019-10-16 08:00:00,3,1,0,1,0
441,1571194800,2019-10-16 09:00:00,3,1,0,1,0
442,1571198400,2019-10-16 10:00:00,3,1,0,1,0
443,1571202000,2019-10-16 11:00:00,3,1,0,1,0
444,1571205600,2019-10-16 12:00:00,3,1,0,2,0
445,1571209200,2019-10-16 13:00:00,3,1,0,2,0
446,1571212800,2019-10-16 14:00:00,3,1,0,2,0
447,1571216400,2019-10-16 15:00:00,3,1,0,2,0
448,1571220000,2019-10-16 16:00:00,3,1,0,2,0
449,1571223600,2019-10-16 17:00:00,3,1,0,2,0
450,1571227200,2019-10-16 18:00:00,3,1,0,3,0
451,1571230800,2019-10-16 19:00:00,3,1,0,3,0
452,1571234400,2019-10-16 20:00:00,3,1,0,3,0
453,1571238000,2019-10-16 21:00:00,3,1,0,3,0
454,1571241600,2019-10-16 22:00:00,3,1,0,3,0
455,1571245200,2019-10-16 23:00:00,3,1,0,3,0
456,1571162400,2019-10-16 00:00:00,3,1,0,0,0
457,1571166000,2019-10-16 01:00:00,3,1,0,0,0
458,1571169600,2019-10-16 02:00:00,3,1,0,0,0
459,1571173200,2019-10-16 03:00:00,3,1,0,0,0
460,1571176800,2019-10-16 04:00:00,3,1,0,0,0
